envo_curie	envo_label	anchor_roots
ENVO:00000000	geographic feature	astronomical body part
ENVO:00000001	bedding-plane cave	astronomical body part
ENVO:00000002	anthropogenic geographic feature	astronomical body part
ENVO:00000010	transport feature	astronomical body part
ENVO:00000011	garden	astronomical body part
ENVO:00000012	hydrographic feature	astronomical body part
ENVO:00000013	cave system	astronomical body part
ENVO:00000014	canal	astronomical body part
ENVO:00000015	ocean	astronomical body part
ENVO:00000016	sea	astronomical body part
ENVO:00000017	saline hydrographic feature	astronomical body part
ENVO:00000019	saline lake	astronomical body part
ENVO:00000020	lake	astronomical body part
ENVO:00000021	freshwater lake	astronomical body part
ENVO:00000022	river	astronomical body part
ENVO:00000023	stream	astronomical body part
ENVO:00000025	reservoir	astronomical body part
ENVO:00000026	well	astronomical body part
ENVO:00000027	spring	astronomical body part
ENVO:00000028	sand pit quarry	astronomical body part
ENVO:00000029	watercourse	astronomical body part
ENVO:00000030	dead cave	astronomical body part
ENVO:00000031	wadi	astronomical body part
ENVO:00000032	bay	astronomical body part
ENVO:00000033	pond	astronomical body part
ENVO:00000034	rapids	astronomical body part
ENVO:00000035	marsh	wetland ecosystem
ENVO:00000036	irrigation canal	astronomical body part
ENVO:00000037	ditch	astronomical body part
ENVO:00000039	fjord	astronomical body part
ENVO:00000040	waterfall	astronomical body part
ENVO:00000041	tidal creek	astronomical body part
ENVO:00000042	drainage canal	astronomical body part
ENVO:00000043	wetland area	astronomical body part|environmental zone
ENVO:00000044	peatland	wetland ecosystem
ENVO:00000045	estuary	astronomical body part
ENVO:00000046	hedge	astronomical body part
ENVO:00000048	navigation canal	astronomical body part
ENVO:00000050	geyser	astronomical body part
ENVO:00000051	hot spring	astronomical body part
ENVO:00000052	volcanic crater lake	astronomical body part
ENVO:00000053	freshwater marsh	wetland ecosystem
ENVO:00000054	saline marsh	wetland ecosystem
ENVO:00000055	saline evaporation pond	astronomical body part
ENVO:00000056	fishpond	astronomical body part
ENVO:00000057	mangrove swamp	wetland ecosystem
ENVO:00000058	underground lake	astronomical body part
ENVO:00000059	underground river	astronomical body part
ENVO:00000060	underground stream	astronomical body part
ENVO:00000061	underground water body	astronomical body part
ENVO:00000062	populated place	environmental zone
ENVO:00000063	water body	astronomical body part
ENVO:00000064	road	astronomical body part
ENVO:00000065	railway	astronomical body part
ENVO:00000066	man-made tunnel	astronomical body part
ENVO:00000067	cave	astronomical body part
ENVO:00000068	tunnel	astronomical body part
ENVO:00000069	distributary	astronomical body part
ENVO:00000070	human construction	astronomical body part
ENVO:00000071	fault cave	astronomical body part
ENVO:00000072	aquaduct	astronomical body part
ENVO:00000073	building	astronomical body part
ENVO:00000074	dam	astronomical body part
ENVO:00000075	bridge	astronomical body part
ENVO:00000076	mine	astronomical body part
ENVO:00000079	flume	astronomical body part
ENVO:00000080	mountain range	astronomical body part
ENVO:00000081	mountain	astronomical body part
ENVO:00000082	hill range	astronomical body part
ENVO:00000083	hill	astronomical body part
ENVO:00000084	mountain pass	astronomical body part
ENVO:00000086	plain	astronomical body part
ENVO:00000087	cliff	astronomical body part
ENVO:00000088	sea cliff	astronomical body part
ENVO:00000089	inland cliff	astronomical body part
ENVO:00000090	coastal plain	astronomical body part
ENVO:00000091	beach	astronomical body part
ENVO:00000092	sea beach	astronomical body part
ENVO:00000093	lacustrine beach	astronomical body part
ENVO:00000094	volcanic feature	astronomical body part
ENVO:00000096	caldera	astronomical body part
ENVO:00000097	desert area	astronomical body part|environmental zone
ENVO:00000098	island	astronomical body part
ENVO:00000099	artificial island	astronomical body part
ENVO:00000100	valley	astronomical body part
ENVO:00000101	delta	astronomical body part
ENVO:00000103	mangrove island	astronomical body part
ENVO:00000104	undersea feature	astronomical body part
ENVO:00000105	lake surface	astronomical body part
ENVO:00000106	grassland area	astronomical body part|environmental zone
ENVO:00000107	heath	astronomical body part|environmental zone
ENVO:00000108	meadow ecosystem	astronomical body part|terrestrial ecosystem
ENVO:00000109	woodland area	astronomical body part|environmental zone
ENVO:00000110	lava tunnel	astronomical body part
ENVO:00000111	forested area	astronomical body part|environmental zone
ENVO:00000112	area of tundra	astronomical body part|environmental zone
ENVO:00000114	agricultural field	astronomical body part
ENVO:00000115	orchard	astronomical body part
ENVO:00000116	vineyard	astronomical body part
ENVO:00000117	plantation	astronomical body part
ENVO:00000118	coconut plantation	astronomical body part
ENVO:00000119	planted forest	astronomical body part|terrestrial ecosystem
ENVO:00000120	oil palm plantation	astronomical body part
ENVO:00000121	artificial channel	astronomical body part
ENVO:00000122	track	astronomical body part
ENVO:00000125	mineral spring	astronomical body part
ENVO:00000126	sulfur spring	astronomical body part
ENVO:00000127	badland	astronomical body part
ENVO:00000128	dry valley	astronomical body part
ENVO:00000129	stream valley	astronomical body part
ENVO:00000130	rocky reef	astronomical body part
ENVO:00000137	coastal inlet	astronomical body part
ENVO:00000138	cove	astronomical body part
ENVO:00000139	irrigation ditch	astronomical body part
ENVO:00000140	drainage ditch	astronomical body part
ENVO:00000141	bank	astronomical body part
ENVO:00000142	stream bank	astronomical body part
ENVO:00000143	river bank	astronomical body part
ENVO:00000145	ice cap	astronomical body part
ENVO:00000146	snow field	astronomical body part
ENVO:00000147	ocean current	astronomical body part
ENVO:00000148	riffle	astronomical body part
ENVO:00000149	artificial reef	astronomical body part
ENVO:00000150	coral reef	astronomical body part
ENVO:00000151	sabkha	astronomical body part
ENVO:00000152	anabranch	astronomical body part
ENVO:00000153	headwater	astronomical body part
ENVO:00000154	flood meadow ecosystem	astronomical body part|terrestrial ecosystem
ENVO:00000155	cirque	astronomical body part
ENVO:00000156	desert oasis	astronomical body part|environmental zone
ENVO:00000157	peat cut	astronomical body part
ENVO:00000158	causeway	astronomical body part
ENVO:00000159	sugar plantation	astronomical body part
ENVO:00000160	sisal plantation	astronomical body part
ENVO:00000161	banana plantation	astronomical body part
ENVO:00000162	tea plantation	astronomical body part
ENVO:00000163	coffee plantation	astronomical body part
ENVO:00000164	rubber plantation	astronomical body part
ENVO:00000165	asphalt lake	astronomical body part
ENVO:00000166	atoll	astronomical body part
ENVO:00000167	bar	astronomical body part
ENVO:00000168	blowhole	astronomical body part
ENVO:00000169	canyon	astronomical body part
ENVO:00000170	dune	astronomical body part
ENVO:00000171	river valley	astronomical body part
ENVO:00000172	sandy desert	astronomical body part|environmental zone
ENVO:00000173	rocky desert	astronomical body part|environmental zone
ENVO:00000174	isthmus	astronomical body part
ENVO:00000175	karst	astronomical body part
ENVO:00000176	elevated landform	astronomical body part
ENVO:00000177	moraine	astronomical body part
ENVO:00000178	levee	astronomical body part
ENVO:00000179	mesa	astronomical body part
ENVO:00000180	mound	astronomical body part
ENVO:00000181	nunatak	astronomical body part
ENVO:00000182	plateau	astronomical body part
ENVO:00000183	stony desert	astronomical body part|environmental zone
ENVO:00000184	hanging valley	astronomical body part
ENVO:00000185	raised mire	wetland ecosystem
ENVO:00000186	string mire	wetland ecosystem
ENVO:00000187	tundra mire	wetland ecosystem
ENVO:00000188	palsa mire	wetland ecosystem
ENVO:00000189	peat swamp	wetland ecosystem
ENVO:00000190	abyssal feature	astronomical body part
ENVO:00000191	solid astronomical body part	astronomical body part
ENVO:00000192	mudflat	wetland ecosystem
ENVO:00000193	olive grove	astronomical body part
ENVO:00000195	sinkhole	astronomical body part
ENVO:00000196	alkaline flat	astronomical body part
ENVO:00000197	endorheic lake	astronomical body part
ENVO:00000198	ice-covered lake	astronomical body part
ENVO:00000199	meromictic lake	astronomical body part
ENVO:00000200	periglacial lake	astronomical body part
ENVO:00000201	fjord lake	astronomical body part
ENVO:00000202	oxbow lake	astronomical body part
ENVO:00000203	rift lake	astronomical body part
ENVO:00000204	ephemeral spring	astronomical body part
ENVO:00000205	permanent spring	astronomical body part
ENVO:00000206	marine neritic zone	astronomical body part
ENVO:00000207	oceanic zone	astronomical body part
ENVO:00000208	marine pelagic zone	astronomical body part
ENVO:00000209	marine photic zone	astronomical body part
ENVO:00000210	marine aphotic zone	astronomical body part
ENVO:00000211	marine bathypelagic zone	astronomical body part
ENVO:00000212	marine abyssalpelagic zone	astronomical body part
ENVO:00000213	marine mesopelagic zone	astronomical body part
ENVO:00000214	hadalpelagic zone	astronomical body part
ENVO:00000215	hydrothermal vent	astronomical body part
ENVO:00000216	fumarole	astronomical body part
ENVO:00000217	solfatara	astronomical body part
ENVO:00000218	black smoker	astronomical body part
ENVO:00000219	landlocked sea	astronomical body part
ENVO:00000220	archipelago	astronomical body part
ENVO:00000221	continental island	astronomical body part
ENVO:00000222	oceanic island	astronomical body part
ENVO:00000223	continental shelf	astronomical body part
ENVO:00000224	slightly stratified estuary	astronomical body part
ENVO:00000225	highly stratified estuary	astronomical body part
ENVO:00000226	saline wedge estuary	astronomical body part
ENVO:00000228	inverse estuary	astronomical body part
ENVO:00000229	intermittent estuary	astronomical body part
ENVO:00000230	coastal wetland ecosystem	wetland ecosystem
ENVO:00000231	moor	wetland ecosystem
ENVO:00000232	fen	wetland ecosystem
ENVO:00000233	swamp ecosystem	wetland ecosystem
ENVO:00000234	bayou	astronomical body part
ENVO:00000235	carr	wetland ecosystem
ENVO:00000236	dambo	wetland ecosystem
ENVO:00000237	hydromorphic/phreatic dambo	wetland ecosystem
ENVO:00000238	fluvial dambo	wetland ecosystem
ENVO:00000239	pocasin	wetland ecosystem
ENVO:00000240	saline wetland	wetland ecosystem
ENVO:00000241	tidal mudflat	wetland ecosystem
ENVO:00000242	lacustrine mudflat	wetland ecosystem
ENVO:00000243	freshwater wetland ecosystem	wetland ecosystem
ENVO:00000244	abyssal plain	astronomical body part
ENVO:00000245	maar	astronomical body part
ENVO:00000246	volcanic crater	astronomical body part
ENVO:00000247	volcano	astronomical body part
ENVO:00000248	glacial valley	astronomical body part
ENVO:00000249	lateral moraine	astronomical body part
ENVO:00000250	medial moraine	astronomical body part
ENVO:00000251	ground moraine	astronomical body part
ENVO:00000252	terminal moraine	astronomical body part
ENVO:00000253	scroll plane	astronomical body part
ENVO:00000254	till plain	astronomical body part
ENVO:00000255	flood plain	astronomical body part
ENVO:00000256	floodway	astronomical body part
ENVO:00000257	flood fringe	astronomical body part
ENVO:00000258	alluvial plain	astronomical body part
ENVO:00000259	lacustrine plain	astronomical body part
ENVO:00000260	prairie	astronomical body part|environmental zone
ENVO:00000261	savanna	astronomical body part|environmental zone
ENVO:00000262	steppe	astronomical body part|environmental zone
ENVO:00000263	fissure cave	astronomical body part
ENVO:00000264	seamount	astronomical body part
ENVO:00000265	guyot	astronomical body part
ENVO:00000266	pasture	astronomical body part|terrestrial ecosystem
ENVO:00000267	submarine canyon	astronomical body part
ENVO:00000268	lake bed	astronomical body part
ENVO:00000269	land-tied island	astronomical body part
ENVO:00000270	beaver pond	astronomical body part
ENVO:00000271	chott	astronomical body part
ENVO:00000272	confluence	astronomical body part
ENVO:00000273	continental slope	astronomical body part
ENVO:00000274	continental rise	astronomical body part
ENVO:00000275	ocean trench	astronomical body part
ENVO:00000276	drumlin	astronomical body part
ENVO:00000277	dry lake	astronomical body part
ENVO:00000278	dry stream	astronomical body part
ENVO:00000279	saline pan	astronomical body part
ENVO:00000280	escarpment	astronomical body part
ENVO:00000281	fault escarpment	astronomical body part
ENVO:00000282	esker	astronomical body part
ENVO:00000283	ridge	astronomical body part
ENVO:00000284	quarry	astronomical body part
ENVO:00000286	polder	astronomical body part
ENVO:00000287	butte	astronomical body part
ENVO:00000288	cotton plantation	astronomical body part
ENVO:00000289	horst	astronomical body part
ENVO:00000290	graben	astronomical body part
ENVO:00000291	drainage basin	astronomical body part
ENVO:00000292	watershed	astronomical body part
ENVO:00000293	continental divide	astronomical body part
ENVO:00000295	fish hatchery	astronomical body part
ENVO:00000296	rice field	astronomical body part
ENVO:00000297	paddy field	astronomical body part
ENVO:00000298	marine iceberg	astronomical body part
