source_code	source_label	candidate_curie	candidate_label	candidate_score	candidate_def	search_method
10	Tree cover	ENVO:00000111	['forested area']			lexical
10	Tree cover	ENVO:01001243	['forest ecosystem']			lexical
10	Tree cover	ENVO:01000855	['area of mixed forest']			lexical
10	Tree cover	ENVO:01000816	['area of deciduous forest']			lexical
20	Shrubland	ENVO:01000216	['montane shrubland biome']			lexical
20	Shrubland	ENVO:01000217	['mediterranean shrubland biome']			lexical
20	Shrubland	ENVO:01001369	['tidal mangrove shrubland']			lexical
20	Shrubland	ENVO:01000176	['shrubland biome']			lexical
30	Grassland	ENVO:01000194	['montane grassland biome']			lexical
30	Grassland	ENVO:01000448	['mixed grassland']			lexical
30	Grassland	ENVO:00005750	['grassland soil']			lexical
30	Grassland	ENVO:01000177	['grassland biome']			lexical
40	Cropland	ENVO:01000892	['area of cropland']			lexical
40	Cropland	ENVO:01000245	['cropland biome']			lexical
40	Cropland	ENVO:01001244	['cropland ecosystem']			lexical
40	Cropland	ENVO:00005749	['farm soil']			lexical
50	Built-up	ENVO:01000743	['land consumption process']			lexical
60	Bare / sparse vegetation		(no hits)			none
70	Snow and ice	ENVO:01000746	['area of perennial ice or snow']			lexical
70	Snow and ice	ENVO:01001620	['mass of ice and snow']			lexical
70	Snow and ice	ENVO:01001619	['snow and ice accumulation process']			lexical
70	Snow and ice	ENVO:01001617	['snow accumulation process']			lexical
80	Permanent water bodies	ENVO:00000277	['dry lake']			lexical
90	Herbaceous wetland	ENVO:01000894	['area of emergent herbaceous wetland']			lexical
95	Mangroves	ENVO:01001369	['tidal mangrove shrubland']			lexical
95	Mangroves	ENVO:01000403	['tropical mangrove']			lexical
95	Mangroves	ENVO:02000138	['mangrove biome soil']			lexical
95	Mangroves	ENVO:01000181	['mangrove biome']			lexical
100	Moss and lichen		(no hits)			none
