coord_key	n_samples	worldcover_code	worldcover_label	corine_code	corine_label
55.6771,9.2778	1	10	Tree cover	324	Transitional woodland-shrub
56.0239,9.9034	1	10	Tree cover	313	Mixed forest
55.3437,11.1496	1	10	Tree cover	142	Sport and leisure facilities
55.6664,9.2716	1	30	Grassland	324	Transitional woodland-shrub
55.6527,8.3078	1	30	Grassland	211	Non-irrigated arable land
56.0287,9.9154	1	10	Tree cover	313	Mixed forest
56.9367,10.1785	1	30	Grassland	412	Peat bogs
55.6059,9.361	1	10	Tree cover	211	Non-irrigated arable land
55.4523,11.2251	1	10	Tree cover	243	Agriculture with significant natural vegetation
57.6541,10.4066	1	30	Grassland	322	Moors and heathland
57.3858,10.0116	1	10	Tree cover	211	Non-irrigated arable land
56.7929,9.7929	1	30	Grassland	324	Transitional woodland-shrub
56.829,9.6219	1	30	Grassland	211	Non-irrigated arable land
56.8293,10.2708	1	30	Grassland	142	Sport and leisure facilities
56.7881,9.826	1	30	Grassland	312	Coniferous forest
55.3871,9.9413	1	30	Grassland	311	Broad-leaved forest
55.9379,9.7278	1	30	Grassland	211	Non-irrigated arable land
56.1054,9.7775	1	10	Tree cover	243	Agriculture with significant natural vegetation
55.2607,11.2788	1	10	Tree cover	112	Discontinuous urban fabric
56.8073,10.2753	1	30	Grassland	112	Discontinuous urban fabric
55.3679,9.9053	1	10	Tree cover	211	Non-irrigated arable land
55.6355,9.235	1	30	Grassland	324	Transitional woodland-shrub
55.9302,9.7674	1	30	Grassland	243	Agriculture with significant natural vegetation
55.9301,9.7671	1	10	Tree cover	243	Agriculture with significant natural vegetation
55.8748,9.7952	1	30	Grassland	211	Non-irrigated arable land
56.0553,9.6263	1	30	Grassland	324	Transitional woodland-shrub
55.9367,9.7285	1	30	Grassland	211	Non-irrigated arable land
55.4635,11.3782	1	40	Cropland	211	Non-irrigated arable land
56.8521,10.2559	1	30	Grassland	324	Transitional woodland-shrub
55.4576,11.2083	1	10	Tree cover	211	Non-irrigated arable land
55.4191,11.4077	1	10	Tree cover	142	Sport and leisure facilities
57.4917,9.8931	1	10	Tree cover	243	Agriculture with significant natural vegetation
57.618,10.3366	1	30	Grassland	324	Transitional woodland-shrub
57.1588,9.8515	1	10	Tree cover	512	Water bodies
56.4414,9.8146	1	30	Grassland	243	Agriculture with significant natural vegetation
56.4422,9.8108	1	10	Tree cover	243	Agriculture with significant natural vegetation
56.4423,9.8387	1	30	Grassland	243	Agriculture with significant natural vegetation
55.3725,9.897	1	10	Tree cover	211	Non-irrigated arable land
55.3732,9.8757	1	30	Grassland	211	Non-irrigated arable land
55.3657,9.9031	1	10	Tree cover	231	Pastures
56.0545,9.6282	1	30	Grassland	324	Transitional woodland-shrub
55.3727,9.93	1	30	Grassland	311	Broad-leaved forest
55.3871,9.9383	1	10	Tree cover	311	Broad-leaved forest
56.4077,9.7939	1	10	Tree cover	311	Broad-leaved forest
55.3854,9.9397	1	10	Tree cover	311	Broad-leaved forest
56.4439,9.814	1	30	Grassland	231	Pastures
56.8615,10.2261	1	30	Grassland	412	Peat bogs
56.8482,10.2698	1	30	Grassland	423	Intertidal flats
55.5639,8.9274	1	10	Tree cover	324	Transitional woodland-shrub
55.5974,8.9145	1	10	Tree cover	324	Transitional woodland-shrub
57.4834,10.5056	1	30	Grassland	421	Salt marshes
56.8422,10.2487	1	30	Grassland	324	Transitional woodland-shrub
55.5695,8.9063	1	10	Tree cover	324	Transitional woodland-shrub
56.2239,8.6113	1	30	Grassland	322	Moors and heathland
55.8122,11.4939	1	30	Grassland	211	Non-irrigated arable land
55.3951,11.3666	1	10	Tree cover	112	Discontinuous urban fabric
55.565,8.9196	1	10	Tree cover	324	Transitional woodland-shrub
56.8384,9.9158	1	10	Tree cover	142	Sport and leisure facilities
55.6053,8.8925	1	30	Grassland	321	Natural grasslands
57.031,10.3637	1	30	Grassland	421	Salt marshes
55.7936,11.5173	1	30	Grassland	243	Agriculture with significant natural vegetation
55.2635,11.2816	1	10	Tree cover	243	Agriculture with significant natural vegetation
55.5745,9.3345	1	10	Tree cover	211	Non-irrigated arable land
55.6612,9.3801	1	30	Grassland	324	Transitional woodland-shrub
55.8747,9.2973	1	10	Tree cover	211	Non-irrigated arable land
55.8786,9.361	1	30	Grassland	211	Non-irrigated arable land
55.6018,8.8833	1	30	Grassland	321	Natural grasslands
55.5847,9.2789	1	10	Tree cover	321	Natural grasslands
56.0541,9.6293	1	30	Grassland	324	Transitional woodland-shrub
55.4185,11.4082	1	10	Tree cover	121	Industrial or commercial units
56.0557,9.6228	1	10	Tree cover	324	Transitional woodland-shrub
55.6786,9.3007	1	10	Tree cover	311	Broad-leaved forest
55.6001,9.3469	1	30	Grassland	243	Agriculture with significant natural vegetation
55.3737,9.9242	1	10	Tree cover	211	Non-irrigated arable land
56.8589,10.2251	1	30	Grassland	412	Peat bogs
56.8715,10.2007	1	30	Grassland	412	Peat bogs
55.569,9.3465	1	30	Grassland	211	Non-irrigated arable land
55.5729,8.9104	1	30	Grassland	324	Transitional woodland-shrub
55.3593,9.8763	1	90	Herbaceous wetland	411	Inland marshes
56.7953,9.974	1	30	Grassland	324	Transitional woodland-shrub
55.5983,8.9002	1	30	Grassland	321	Natural grasslands
55.4305,9.4389	1	30	Grassland	324	Transitional woodland-shrub
57.6228,10.3086	1	30	Grassland	321	Natural grasslands
56.7901,9.9821	1	30	Grassland	312	Coniferous forest
55.5929,8.9125	1	10	Tree cover	312	Coniferous forest
57.6275,10.3059	1	30	Grassland	321	Natural grasslands
56.7673,8.2887	1	30	Grassland	211	Non-irrigated arable land
55.2728,11.4034	1	10	Tree cover	243	Agriculture with significant natural vegetation
56.9953,8.4819	1	80	Permanent water bodies	324	Transitional woodland-shrub
57.0549,8.887	1	30	Grassland	312	Coniferous forest
56.7166,9.7991	1	30	Grassland	211	Non-irrigated arable land
55.462,11.3909	1	10	Tree cover	211	Non-irrigated arable land
56.8686,9.4153	1	10	Tree cover	313	Mixed forest
57.0409,9.86	1	80	Permanent water bodies	243	Agriculture with significant natural vegetation
56.8733,8.3293	1	30	Grassland	322	Moors and heathland
55.4626,11.3866	1	40	Cropland	211	Non-irrigated arable land
56.8187,8.3166	1	10	Tree cover	312	Coniferous forest
56.6989,8.5116	1	90	Herbaceous wetland	421	Salt marshes
56.8683,8.8275	1	90	Herbaceous wetland	421	Salt marshes
55.4554,11.2152	1	30	Grassland	211	Non-irrigated arable land
55.4067,11.29	1	10	Tree cover	412	Peat bogs
56.9371,8.5942	1	30	Grassland	312	Coniferous forest
56.8363,8.3159	1	10	Tree cover	322	Moors and heathland
56.9963,8.4764	1	80	Permanent water bodies	324	Transitional woodland-shrub
55.3174,11.4088	1	10	Tree cover	211	Non-irrigated arable land
56.9758,9.9287	1	30	Grassland	324	Transitional woodland-shrub
57.358,10.2641	1	80	Permanent water bodies	243	Agriculture with significant natural vegetation
55.3642,11.2039	1	40	Cropland	211	Non-irrigated arable land
56.7026,9.8578	1	10	Tree cover	211	Non-irrigated arable land
56.7278,9.8017	1	10	Tree cover	243	Agriculture with significant natural vegetation
56.6853,9.7998	1	40	Cropland	211	Non-irrigated arable land
57.4981,10.205	1	40	Cropland	211	Non-irrigated arable land
55.3166,11.419	1	40	Cropland	211	Non-irrigated arable land
